"state_code" "county_code" "site_number" "parameter_code" "poc" "latitude" "longitude" "datum" "parameter" "date_local" "time_local" "date_gmt" "time_gmt" "sample_measurement" "units_of_measure" "units_of_measure_code" "sample_duration" "sample_duration_code" "sample_frequency" "detection_limit" "uncertainty" "qualifier" "method_type" "method" "method_code" "state" "county" "date_of_last_change" "cbsa_code"
"16" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-03-16" "23:59" "2020-03-17" "04:59" 0.51 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"17" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-03-22" "23:59" "2020-03-23" "04:59" 0.16 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"18" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-03-28" "23:59" "2020-03-29" "04:59" 0.41 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "2 - Operational Deviation." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"19" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-04-03" "23:59" "2020-04-04" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-12-09" "12060"
"20" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-04-03" "23:59" "2020-04-04" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"21" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-04-09" "23:59" "2020-04-10" "04:59" 0.17 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"22" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-04-15" "23:59" "2020-04-16" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"23" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-04-21" "23:59" "2020-04-22" "04:59" 0.93 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "2 - Operational Deviation." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"24" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-04-27" "23:59" "2020-04-28" "04:59" 1.01 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "2 - Operational Deviation." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2020-09-29" "12060"
"25" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-05-03" "23:59" "2020-05-04" "04:59" 0.67 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-02-08" "12060"
